Link,PDF Path,Title,Identifier,Summary,Facts
https://indiankanoon.org/docfragment/15033988/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Anuj_Jain_Interim_Resolution_vs_Axis_Bank_Limited_on_26_February_2020.PDF,,,,
https://indiankanoon.org/docfragment/122264633/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,M_S_Imperia_Structures_Ltd_vs_Anil_Patni_And_Anr_Etc_on_2_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/127137628/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,D_Devaraja_vs_Owais_Sabeer_Hussain_on_18_June_2020.PDF,,,,
https://indiankanoon.org/docfragment/126131695/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,M_S_Shakti_Bhog_Food_Industries_Ltd_vs_The_Central_Bank_Of_India_on_5_June_2020.PDF,,,,
https://indiankanoon.org/docfragment/160876193/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Anita_Sharma_vs_The_New_India_Assurance_Co_Ltd_on_8_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/72586813/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Tamil_Nadu_Medical_Officers_vs_Union_Of_India_on_31_August_2020.PDF,,,,
https://indiankanoon.org/docfragment/61904359/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Rajesh_Sarkari_vs_The_State_Of_Haryana_on_3_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/135783731/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Vodafone_Idea_Ltd_Earlier_Known_As_vs_Assistant_Commissioner_Of_Income_Tax_on_29_April_2020.PDF,,,,
https://indiankanoon.org/docfragment/173130822/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_State_Of_Rajasthan_vs_Heem_Singh_on_29_October_2020.PDF,,,,
https://indiankanoon.org/docfragment/128615827/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Hira_Singh_vs_Uoi_on_22_April_2020.PDF,,,,
https://indiankanoon.org/docfragment/7964850/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,The_Home_Secretary_Prison_vs_H_Nilofer_Nisha_on_23_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/10546413/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Sushil_Sethi_vs_The_State_Of_Arunachal_Pradesh_on_31_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/179589761/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Dr_Nallapareddy_Sridhar_Reddy_vs_The_State_Of_Andhra_Pradesh_on_21_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/175269362/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Kirpa_Ram_D_Tr_Lrs_vs_Surender_Deo_Gaur_on_16_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/108276358/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,South_East_Asia_Marine_Engineering_And_vs_Oil_India_Limited_on_11_May_2020.PDF,,,,
https://indiankanoon.org/docfragment/88573149/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Paramvir_Singh_Saini_vs_Baljit_Singh_on_2_December_2020.PDF,,,,
https://indiankanoon.org/docfragment/157043646/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Vetindia_Pharmaceuticals_Limited_vs_The_State_Of_Uttar_Pradesh_on_6_November_2020.PDF,,,,
https://indiankanoon.org/docfragment/8225715/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Gurshinder_Singh_vs_Sriram_General_Insurance_Co_Ltd_on_24_January_2020.PDF,,,,
https://indiankanoon.org/docfragment/28186350/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Rajendra_Singh_vs_National_Insurance_Company_Ltd_on_18_June_2020.PDF,,,,
https://indiankanoon.org/docfragment/124556293/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Nirmala_Kothari_vs_United_India_Insurance_Co_Ltd_on_4_March_2020.PDF,,,,
https://indiankanoon.org/docfragment/17693527/?formInput=doctypes%3A%20supremecourt%20year%3A%202020,Chebrolu_Leela_Prasad_Rao_vs_State_Of_A_P_on_22_April_2020.PDF,,,,
